State/UT,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Jammu & Kashmir,6130.0,6306.0,6464.0,6645.0,6824.0,6844.0,7027.0,7211.0,7396.0,7575.0
Ladakh,,,,,,159.0,162.0,166.0,171.0,175.0
Himachal Pradesh,4239.0,4347.0,4434.0,4534.0,4642.0,4744.0,4856.0,4953.0,5058.0,5180.0
Punjab,19393.0,19858.0,20332.0,20784.0,21278.0,21763.0,22276.0,22786.0,23301.0,23865.0
Chandigarh,470.0,487.0,501.0,517.0,532.0,548.0,564.0,582.0,598.0,612.0
Uttarakhand,5460.0,5595.0,5747.0,5886.0,6028.0,6184.0,6337.0,6500.0,6655.0,6816.0
Haryana,13633.0,14043.0,14436.0,14837.0,15255.0,15684.0,16109.0,16543.0,16997.0,17408.0
Delhi,11624.0,12016.0,12411.0,12804.0,13218.0,13644.0,14057.0,14494.0,14917.0,15278.0
Rajasthan,33382.0,34304.0,35224.0,36159.0,37123.0,38100.0,39111.0,40117.0,41167.0,42163.0
Uttar Pradesh,96651.0,99001.0,101406.0,103876.0,106350.0,108911.0,111491.0,114128.0,116818.0,119645.0
Bihar,49017.0,50348.0,51724.0,53126.0,54566.0,56028.0,57531.0,59043.0,60629.0,62096.0
Sikkim,246.0,246.0,253.0,264.0,270.0,275.0,276.0,288.0,308.0,315.0
Arunachal Pradesh,554.0,575.0,587.0,598.0,612.0,622.0,635.0,655.0,670.0,686.0
Nagaland,882.0,907.0,921.0,939.0,961.0,982.0,1008.0,1029.0,1060.0,1086.0
Manipur,919.0,939.0,974.0,1013.0,1047.0,1070.0,1105.0,1175.0,1220.0,1250.0
Mizoram,999.0,1021.0,1058.0,1088.0,1119.0,1149.0,1183.0,1231.0,1271.0,1302.0
Tripura,1369.0,1395.0,1431.0,1465.0,1496.0,1526.0,1571.0,1600.0,1651.0,1691.0
Meghalaya,1616.0,1654.0,1701.0,1729.0,1791.0,1837.0,1887.0,1928.0,1980.0,2028.0
Assam,19616.0,20121.0,20631.0,21170.0,21715.0,22261.0,22824.0,23395.0,23974.0,24554.0
West Bengal,51573.0,52905.0,54239.0,55605.0,56988.0,58368.0,59786.0,61213.0,62652.0,64168.0
Jharkhand,15830.0,16285.0,16751.0,17233.0,17710.0,18215.0,18716.0,19241.0,19766.0,20244.0
Orissa,24442.0,25030.0,25615.0,26205.0,26810.0,27427.0,28024.0,28656.0,29287.0,29996.0
Chhattisgarh,13068.0,13417.0,13779.0,14144.0,14522.0,14891.0,15279.0,15666.0,16057.0,16446.0
Madhya Pradesh,36740.0,37722.0,38735.0,39758.0,40798.0,41876.0,42966.0,44056.0,45176.0,46269.0
Gujarat,32561.0,33481.0,34413.0,35362.0,36325.0,37300.0,38306.0,39328.0,40356.0,41333.0
Daman & Diu,37.0,40.0,45.0,48.0,55.0,63.0,66.0,70.0,77.0,79.0
Dadra & Nagar Haveli,66.0,69.0,79.0,87.0,92.0,102.0,109.0,117.0,128.0,131.0
Maharashtra,55087.0,56491.0,57901.0,59341.0,60814.0,62291.0,63797.0,65326.0,66879.0,68497.0
Telangana,22390.0,22988.0,23580.0,24184.0,24788.0,25408.0,26038.0,26681.0,27339.0,28001.0
Andhra Pradesh,33602.0,34389.0,35224.0,36034.0,36884.0,37724.0,38582.0,39443.0,40307.0,41282.0
Karnataka,40312.0,41394.0,42502.0,43612.0,44775.0,45926.0,47113.0,48290.0,49516.0,50714.0
Goa,770.0,785.0,807.0,831.0,848.0,877.0,893.0,909.0,932.0,955.0
Lakshadweep,10.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,14.0,15.0
Kerala,27905.0,28434.0,28961.0,29508.0,30057.0,30615.0,31166.0,31713.0,32271.0,33055.0
Tamil Nadu,41160.0,42294.0,43463.0,44655.0,45846.0,47075.0,48314.0,49571.0,50841.0,52075.0
Pondicherry,670.0,701.0,733.0,760.0,794.0,820.0,852.0,879.0,905.0,930.0
Andaman & Nicobar Islands,170.0,175.0,180.0,186.0,193.0,195.0,200.0,205.0,214.0,221.0
,,,,,,,,,,
TOTAL,662593.0,679776.0,697255.0,715000.0,733139.0,751517.0,770230.0,789202.0,808558.0,828136.0
