region,Year,Incidence,Rolling_Avg_Incidence,Lag_Incidence,Growth_Rate,Cumulative_Incidence
Andaman & Nicobar Islands,2014,310.0,310.0,,,310.0
Andaman & Nicobar Islands,2015,319.0,314.5,310.0,2.903225806451613,629.0
Andaman & Nicobar Islands,2016,331.0,320.0,319.0,3.761755485893417,960.0
Andaman & Nicobar Islands,2017,340.0,330.0,331.0,2.719033232628399,1300.0
Andaman & Nicobar Islands,2018,351.0,340.6666666666667,340.0,3.2352941176470593,1651.0
Andaman & Nicobar Islands,2019,357.0,349.3333333333333,351.0,1.7094017094017095,2008.0
Andaman & Nicobar Islands,2020,366.0,358.0,357.0,2.5210084033613445,2374.0
Andaman & Nicobar Islands,2021,380.0,367.6666666666667,366.0,3.825136612021858,2754.0
Andaman & Nicobar Islands,2022,393.0,379.6666666666667,380.0,3.421052631578948,3147.0
Andaman & Nicobar Islands,2023,401.0,391.3333333333333,393.0,2.035623409669211,3548.0
Andhra Pradesh,2014,61445.0,61445.0,,,61445.0
Andhra Pradesh,2015,62888.0,62166.5,61445.0,2.348441695825535,124333.0
Andhra Pradesh,2016,64371.0,62901.333333333336,62888.0,2.358160539371581,188704.0
Andhra Pradesh,2017,65839.0,64366.0,64371.0,2.2805300523527676,254543.0
Andhra Pradesh,2018,67370.0,65860.0,65839.0,2.325369461869105,321913.0
Andhra Pradesh,2019,68883.0,67364.0,67370.0,2.2458067389045566,390796.0
Andhra Pradesh,2020,70424.0,68892.33333333333,68883.0,2.23712672212302,461220.0
Andhra Pradesh,2021,71970.0,70425.66666666667,70424.0,2.195274338293763,533190.0
Andhra Pradesh,2022,73536.0,71976.66666666667,71970.0,2.1759066277615675,606726.0
Andhra Pradesh,2023,75086.0,73530.66666666667,73536.0,2.107811140121845,681812.0
Arunachal Pradesh,2014,905.0,905.0,,,905.0
Arunachal Pradesh,2015,933.0,919.0,905.0,3.0939226519337018,1838.0
Arunachal Pradesh,2016,953.0,930.3333333333334,933.0,2.1436227224008575,2791.0
Arunachal Pradesh,2017,968.0,951.3333333333334,953.0,1.5739769150052465,3759.0
Arunachal Pradesh,2018,991.0,970.6666666666666,968.0,2.37603305785124,4750.0
Arunachal Pradesh,2019,1015.0,991.3333333333334,991.0,2.4217961654894045,5765.0
Arunachal Pradesh,2020,1035.0,1013.6666666666666,1015.0,1.9704433497536946,6800.0
Arunachal Pradesh,2021,1064.0,1038.0,1035.0,2.8019323671497585,7864.0
Arunachal Pradesh,2022,1087.0,1062.0,1064.0,2.161654135338346,8951.0
Arunachal Pradesh,2023,1125.0,1092.0,1087.0,3.4958601655933763,10076.0
Assam,2014,32555.0,32555.0,,,32555.0
Assam,2015,33388.0,32971.5,32555.0,2.5587467362924285,65943.0
Assam,2016,34230.0,33391.0,33388.0,2.5218641428057986,100173.0
Assam,2017,35130.0,34249.333333333336,34230.0,2.6292725679228743,135303.0
Assam,2018,36029.0,35129.666666666664,35130.0,2.559066325078281,171332.0
Assam,2019,36948.0,36035.666666666664,36029.0,2.550723028671348,208280.0
Assam,2020,37880.0,36952.333333333336,36948.0,2.522464003464328,246160.0
Assam,2021,38834.0,37887.333333333336,37880.0,2.518479408658923,284994.0
Assam,2022,39787.0,38833.666666666664,38834.0,2.4540351238605345,324781.0
Assam,2023,40721.0,39780.666666666664,39787.0,2.3475004398421593,365502.0
Bihar,2014,88415.0,88415.0,,,88415.0
Bihar,2015,90814.0,89614.5,88415.0,2.7133404965220835,179229.0
Bihar,2016,93283.0,90837.33333333333,90814.0,2.7187438060210978,272512.0
Bihar,2017,95801.0,93299.33333333333,93283.0,2.699312843712145,368313.0
Bihar,2018,98383.0,95822.33333333333,95801.0,2.695170196553272,466696.0
Bihar,2019,101014.0,98399.33333333333,98383.0,2.674242501245134,567710.0
Bihar,2020,103711.0,101036.0,101014.0,2.6699269408200843,671421.0
Bihar,2021,106435.0,103720.0,103711.0,2.626529490603697,777856.0
Bihar,2022,109274.0,106473.33333333333,106435.0,2.6673556630807536,887130.0
Bihar,2023,112180.0,109296.33333333333,109274.0,2.659370023976426,999310.0
Chandigarh,2014,857.0,857.0,,,857.0
Chandigarh,2015,887.0,872.0,857.0,3.5005834305717616,1744.0
Chandigarh,2016,911.0,885.0,887.0,2.705749718151071,2655.0
Chandigarh,2017,939.0,912.3333333333334,911.0,3.0735455543358947,3594.0
Chandigarh,2018,966.0,938.6666666666666,939.0,2.8753993610223643,4560.0
Chandigarh,2019,994.0,966.3333333333334,966.0,2.898550724637681,5554.0
Chandigarh,2020,1024.0,994.6666666666666,994.0,3.0181086519114686,6578.0
Chandigarh,2021,1053.0,1023.6666666666666,1024.0,2.83203125,7631.0
Chandigarh,2022,1088.0,1055.0,1053.0,3.323836657169991,8719.0
Chandigarh,2023,1120.0,1087.0,1088.0,2.941176470588235,9839.0
Chhattisgarh,2014,23809.0,23809.0,,,23809.0
Chhattisgarh,2015,24440.0,24124.5,23809.0,2.650258305682725,48249.0
Chhattisgarh,2016,25094.0,24447.666666666668,24440.0,2.675941080196399,73343.0
Chhattisgarh,2017,25768.0,25100.666666666668,25094.0,2.68590101219415,99111.0
Chhattisgarh,2018,26443.0,25768.333333333332,25768.0,2.619528096864328,125554.0
Chhattisgarh,2019,27113.0,26441.333333333332,26443.0,2.5337518435880955,152667.0
Chhattisgarh,2020,27828.0,27128.0,27113.0,2.637111348799469,180495.0
Chhattisgarh,2021,28529.0,27823.333333333332,27828.0,2.519045565617364,209024.0
Chhattisgarh,2022,29253.0,28536.666666666668,28529.0,2.537768586350731,238277.0
Chhattisgarh,2023,30014.0,29265.333333333332,29253.0,2.6014425870850855,268291.0
Dadra & Nagar Haveli,2014,129.0,129.0,,,129.0
Dadra & Nagar Haveli,2015,139.0,134.0,129.0,7.751937984496124,268.0
Dadra & Nagar Haveli,2016,153.0,140.33333333333334,139.0,10.071942446043165,421.0
Dadra & Nagar Haveli,2017,164.0,152.0,153.0,7.18954248366013,585.0
Dadra & Nagar Haveli,2018,173.0,163.33333333333334,164.0,5.487804878048781,758.0
